Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	3	195.9	72.9	6	116.04741290466832	0.03048129617702128	0.0025720849874555584	1.01	99.5	3046.69	3391.13	1025.74	956.25	2414.3	2695.9
2	3	217.8	80.5	6	108.23233360255934	0.02905039635376719	0.002175729250229543	0.92	101	3079.42	3004.78	1019.33	1031.94	2420.6	2526.5
3	3	214.4	74.3	6	112.43811713883446	0.032665366315659465	0.002548837467886736	0.97	102.5	3433.42	3627.82	1070.65	940.31	2394.1	2425.7
4	7	94.9	75.3	4	89.18853990721655	0.043161216438920125	0.0005446156164141665	0.93	50.7	0	0	1077.87	0	957.3	0
5	7	96.5	68.7	4	89.91157670341583	0.044186759749438635	0.00045146470365339	1.06	52.9	0	0	995.64	0	939	0
6	7	91.8	79.8	4	98.2492059574964	0.04733986007133578	0.0004579064197123495	0.92	47.9	0	0	914.33	0	965.5	0
7	11	23.6	4.3	4	148.70784107092084	0.041696279268262054	0.0005260782401926871	0	0	0	0	0	0	0	0
8	12	151.1	3.6	4	100.91300709343047	0.04880272449011095	0.0005326206280033694	0	0	0	0	0	0	0	0
9	12	136.1	3.7	4	100.07455696211615	0.044681082663823694	0.0004527603083520441	0	0	0	0	0	0	0	0
10	11	21	4.1	4	147.3117703167792	0.04379064632670289	0.00047081989167177237	0	0	0	0	0	0	0	0
11	12	32.7	4.4	4	106.3657806220601	0.048094982072014326	0.0005286850888628517	0	0	0	0	0	0	0	0
12	11	118	3.9	4	175.6128009167853	0.04578461197947357	0.0005055373890075672	0	0	0	0	0	0	0	0
13	11	109.7	4	4	171.6871953425081	0.04444620923995691	0.0005291314952893611	0	0	0	0	0	0	0	0
14	11	107	4.1	4	164.57591335834778	0.048527587954402006	0.0005466721686683949	0	0	0	0	0	0	0	0
15	12	31.9	4.4	4	115.4303177228887	0.048029240895270886	0.0005192785064179949	0	0	0	0	0	0	0	0
16	12	35.6	4.3	4	103.37391150105083	0.04248712804136415	0.00047714355697419617	0	0	0	0	0	0	0	0
17	11	111.2	4.1	4	144.81978301107137	0.042298712115937005	0.00048687470032201245	0	0	0	0	0	0	0	0
18	12	34.2	3.6	4	106.79794253629963	0.04770873656962086	0.0005123893063301114	0	0	0	0	0	0	0	0
19	11	23.5	4	4	148.8303535117774	0.041430991193002246	0.0005051758510783435	0	0	0	0	0	0	0	0
20	11	22.6	4	4	173.62905502928882	0.04505606960925332	0.0005445966687212982	0	0	0	0	0	0	0	0
21	11	115.8	4.1	4	164.39697654036902	0.044920135178777375	0.0004759191688881135	0	0	0	0	0	0	0	0
22	11	107	3.8	4	160.2769673247569	0.04187441244859533	0.0005044880668516914	0	0	0	0	0	0	0	0
23	13	21.1	4.1	4	112.26192078463235	0.04796812286509259	0.0004375486547390081	0	0	0	0	0	0	0	0
24	11	20.5	3.8	4	145.10642585232193	0.04489938790389756	0.0005464317377543173	0	0	0	0	0	0	0	0
25	11	115.2	3.9	4	144.68679797874316	0.041069507230019425	0.0005271928952811076	0	0	0	0	0	0	0	0
26	13	20	3.8	4	101.30630684282208	0.04397789822018221	0.0004508325776172894	0	0	0	0	0	0	0	0
27	13	157.1	3.9	4	96.98942833605733	0.04112653541713728	0.0004430234765095533	0	0	0	0	0	0	0	0
28	11	21.3	3.8	4	173.76669819611678	0.04851873762815626	0.0004765766305565431	0	0	0	0	0	0	0	0
29	11	21.4	4.3	4	154.4414558993768	0.043326008493064616	0.0005206934325511212	0	0	0	0	0	0	0	0
30	14	134.5	3.7	4	113.38064111300588	0.04512507412421025	0.0005323063158343951	0	0	0	0	0	0	0	0
31	14	155.7	3.9	4	106.56183897530653	0.04100718580289108	0.0004833480300894156	0	0	0	0	0	0	0	0
32	11	112.4	3.8	4	172.81915119295505	0.04699140734748634	0.0005486119342482457	0	0	0	0	0	0	0	0
33	11	108.6	4.1	4	152.57430339456087	0.04704551880854529	0.0004628755743754637	0	0	0	0	0	0	0	0
34	11	22.1	4	4	157.58079223285083	0.041809885394713364	0.0005368721604607847	0	0	0	0	0	0	0	0
35	11	103	4.2	4	161.01933666050684	0.04788527436082227	0.00048724084765422817	0	0	0	0	0	0	0	0
36	11	110.9	4	4	154.6564135743272	0.04855778655987936	0.0004852989519437672	0	0	0	0	0	0	0	0
37	11	120.5	3.9	4	167.30291424234167	0.043204852328018295	0.0005260549081705772	0	0	0	0	0	0	0	0
38	11	104.7	3.6	4	144.0222545059518	0.04889491100806462	0.0005152610774368992	0	0	0	0	0	0	0	0
