Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	4	200.6	78.3	6	126.52986576308601	0.027715782937173056	0.0022607231962855886	1.01	97.6	3381.31	3493.7	1019.16	906.71	2565.2	2631.5
2	4	199.1	68.8	6	113.41407830790848	0.028527532411872187	0.0021940640812432217	1.06	117.1	3046.2	3267.04	1053.81	980.71	2309	2270.5
3	4	221.2	78.6	6	129.36812559344534	0.028352550246077246	0.002419497426230513	0.95	103.8	3063.6	3445.56	1059.4	1064.6	2496.1	2544.3
4	7	92	73.5	4	86.86145189651833	0.046143573974058445	0.00047332935924122415	1.1	46.5	0	0	1096.12	0	1014.9	0
5	7	98.5	81.3	4	95.36313554029914	0.049290545545753225	0.000455997739417591	1	46.3	0	0	955.33	0	1064.5	0
6	7	96	83	4	87.32412999826184	0.0446571408084261	0.000467794286883815	1.02	53.6	0	0	940.73	0	969	0
7	11	21.3	4.3	4	168.93541703604185	0.041772003200628814	0.0005048770522884866	0	0	0	0	0	0	0	0
8	12	144.6	4.3	4	111.48053975228042	0.04683122013662492	0.0004521576422237642	0	0	0	0	0	0	0	0
9	12	135.2	4.4	4	112.17982322724224	0.04280276485121122	0.0004890142789687232	0	0	0	0	0	0	0	0
10	11	120.3	4.3	4	172.30692112106107	0.04923402728490734	0.00045853758595034404	0	0	0	0	0	0	0	0
11	12	149.4	3.9	4	112.61285781440493	0.04925864749172335	0.000507233401441669	0	0	0	0	0	0	0	0
12	11	110	4.2	4	167.30120344611856	0.04612697078326645	0.0005268509422046846	0	0	0	0	0	0	0	0
13	11	22.3	4.3	4	172.46551276635077	0.04399775116160138	0.0004884376204901831	0	0	0	0	0	0	0	0
14	11	113.1	3.8	4	159.71047066838565	0.04327232426271018	0.0004700782114423436	0	0	0	0	0	0	0	0
15	12	31.6	4	4	110.01517094933182	0.04740550742413322	0.00046031999872326413	0	0	0	0	0	0	0	0
16	12	33.2	4	4	106.70764871109014	0.04838251012822618	0.0005459561631807692	0	0	0	0	0	0	0	0
17	11	115	3.9	4	173.4818713048944	0.04900523905074382	0.0004635533979794777	0	0	0	0	0	0	0	0
18	12	141.4	4	4	113.65047376005485	0.047251723541079885	0.0004976161876604033	0	0	0	0	0	0	0	0
19	11	105.8	3.7	4	160.87698582648898	0.045062295410142686	0.0005390081418492484	0	0	0	0	0	0	0	0
20	11	24.4	4.3	4	160.78950686907717	0.04645280796207933	0.0005031605233340406	0	0	0	0	0	0	0	0
21	11	23.8	3.8	4	149.65939089053035	0.04183073263783448	0.0005167610409963627	0	0	0	0	0	0	0	0
22	11	111.1	3.8	4	151.21384236325142	0.045595323205214144	0.0004692842286622853	0	0	0	0	0	0	0	0
23	13	21.4	4.2	4	96.57779893585644	0.044188371626989985	0.00038032859364806705	0	0	0	0	0	0	0	0
24	11	20.6	4	4	169.77453183691253	0.04485531626563363	0.00048474431843020105	0	0	0	0	0	0	0	0
25	11	101.7	4.2	4	155.0787385534976	0.045256516374266594	0.00047816823380559674	0	0	0	0	0	0	0	0
26	13	149.2	3.8	4	95.40105791855702	0.0414636227275662	0.0004487371992760841	0	0	0	0	0	0	0	0
27	13	141.1	4	4	108.7244422800183	0.044999389395010435	0.00039024395660916235	0	0	0	0	0	0	0	0
28	11	23.2	3.7	4	151.3972410963886	0.042359436659135136	0.0004537136051642657	0	0	0	0	0	0	0	0
29	11	24	4.3	4	144.37710466941215	0.04798528153217448	0.0004939604142442639	0	0	0	0	0	0	0	0
30	14	141.3	4.2	4	103.94034039169982	0.04266107678894089	0.0005264574258584321	0	0	0	0	0	0	0	0
31	14	140.1	4.2	4	113.861667703032	0.04375711506667886	0.00046178467118459246	0	0	0	0	0	0	0	0
32	11	23.7	3.7	4	174.05489041437195	0.04616303128096861	0.0004541983826694056	0	0	0	0	0	0	0	0
33	11	20.8	3.7	4	169.5193519414937	0.044316068749609736	0.00045742624634898064	0	0	0	0	0	0	0	0
34	11	23	4.2	4	172.41721021176772	0.04941408596454144	0.0004843177909415021	0	0	0	0	0	0	0	0
35	11	107	4.4	4	156.7406834464909	0.04732811934389275	0.000478113007820112	0	0	0	0	0	0	0	0
36	11	103.6	3.8	4	153.01253834105924	0.04588023088304781	0.0005163662894613956	0	0	0	0	0	0	0	0
37	11	118.2	3.7	4	173.08758817061954	0.046857882784547444	0.0004859818085203865	0	0	0	0	0	0	0	0
38	11	105.9	4.4	4	154.08523826252377	0.047113280651685484	0.00046299150048987345	0	0	0	0	0	0	0	0
39	11	118.7	4.3	4	161.86264048790076	0.04821452395402065	0.0005163245518123421	0	0	0	0	0	0	0	0
40	11	23.2	3.7	4	162.9583153920658	0.04249215222105619	0.0005195140302762033	0	0	0	0	0	0	0	0
41	11	21.1	4	4	166.65949842837585	0.04630077625205329	0.000499209171778703	0	0	0	0	0	0	0	0
42	11	106.2	4.3	4	153.91513643691434	0.0444497346118894	0.0005359430922581041	0	0	0	0	0	0	0	0
43	12	138.8	4.3	4	101.7772075705454	0.048719145910226705	0.0005071474944435266	0	0	0	0	0	0	0	0
44	12	33.9	3.7	4	98.04401231292107	0.04496147540556068	0.0005327811042464555	0	0	0	0	0	0	0	0
45	11	108	3.7	4	163.63649761338922	0.04351247367095542	0.0005051125753311329	0	0	0	0	0	0	0	0
46	12	32.1	3.6	4	114.75488453654107	0.048850011021583005	0.0004805839216734091	0	0	0	0	0	0	0	0
47	11	20.5	4.4	4	168.20772125360725	0.04225036490752885	0.0004887140762722947	0	0	0	0	0	0	0	0
48	11	20.7	4.3	4	168.62964835948802	0.04320267581614895	0.0005099687753662115	0	0	0	0	0	0	0	0
49	13	133	3.9	4	98.44299441782313	0.04850363039277119	0.00039527170038656704	0	0	0	0	0	0	0	0
50	11	24.1	3.7	4	170.29981495670808	0.04200771348264407	0.0005308739927292992	0	0	0	0	0	0	0	0
51	11	101.7	4	4	166.27708779503655	0.04626114456625567	0.0004504727937784118	0	0	0	0	0	0	0	0
52	11	112.8	4.3	4	152.71061315444243	0.0464434534573565	0.0004705954391540287	0	0	0	0	0	0	0	0
53	11	105	4.4	4	169.7837551484858	0.04883979864384245	0.0004994316245288114	0	0	0	0	0	0	0	0
54	4	225.8	73.2	6	120.97764980668897	0.028718147929194106	0.0026274512396611753	1	116.9	2982.13	3253.62	926.78	927.63	2570.1	2433.1
55	4	225.6	75.6	6	118.37925060465705	0.032630075517303264	0.002465177983026818	0.99	98.9	3589.34	3041.63	1055.18	1098.74	2394.3	2402.2
56	4	199.4	81.9	6	130.0616195703433	0.0304525794633344	0.0024850241401884313	1.06	116.6	3240	3046.49	954.62	1056.08	2545.1	2552.1
57	7	103.2	79.7	4	86.34944888377551	0.041786948462501555	0.0004793326566557453	0.95	50.3	0	0	997.61	0	1030.1	0
58	7	109.5	77.7	4	92.21190230281542	0.04166305166026037	0.0005110595014747713	0.96	48.6	0	0	1070.04	0	1009.5	0
59	7	100.4	77.4	4	85.67837790964248	0.04497073820224454	0.0005281369505416886	1	54	0	0	1078.17	0	940.6	0
60	7	107.4	72.6	4	81.09321764166737	0.04641774580403753	0.0005339622389600813	0.9	50.5	0	0	1033.5	0	1034.1	0
61	12	137.5	3.8	4	103.99388156166997	0.04512582374789563	0.0005498418126583817	0	0	0	0	0	0	0	0
62	11	118.8	4.2	4	170.32640893955246	0.04148146017461192	0.0005411311815383982	0	0	0	0	0	0	0	0
