Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	2	213.6	73.9	6	119.1727235639008	0.029219802454225337	0.002162276701789685	221.41	101.6	2126.99	0	0	2519.05	0	2362.5
2	2	210.2	75.6	6	116.41698242657934	0.029473379703838325	0.0021650040032473654	206.52	107.1	2088.36	0	0	2633.82	0	2688.7
3	2	224.7	69.8	6	128.6540150523164	0.03166423255915779	0.0022728634673668496	212.91	114.5	2293.55	0	0	2457.29	0	2648.1
4	2	215.8	76.3	6	113.05376568846584	0.03261487271319027	0.0026188081322982798	191.54	107.4	2381.55	0	0	2455.27	0	2272.9
5	11	103.1	3.7	4	173.24300805614658	0.045418220592836275	0.0005354532800537587	0	0	0	0	0	0	0	0
6	12	154.6	4.2	4	102.5117775797771	0.045690945369457156	0.0005449017440102996	0	0	0	0	0	0	0	0
7	11	114.6	4	4	147.43542874470182	0.04614802173403877	0.0004559563664678235	0	0	0	0	0	0	0	0
8	11	99.4	3.8	4	154.2775164275143	0.04607298009077887	0.00046445901584812443	0	0	0	0	0	0	0	0
9	11	111	3.7	4	173.8528258890256	0.04643862693982858	0.00046976791909476547	0	0	0	0	0	0	0	0
10	12	146.6	3.9	4	106.66929349884498	0.04156971434881087	0.0004789293318124646	0	0	0	0	0	0	0	0
11	12	133.8	3.8	4	110.82607287186318	0.048974097799572645	0.000507379242067616	0	0	0	0	0	0	0	0
12	11	23.8	4.3	4	174.01842008570605	0.04504356003802914	0.0005076300011911318	0	0	0	0	0	0	0	0
13	11	20.3	4.1	4	173.01601758716228	0.0414647467244435	0.0005211315186130326	0	0	0	0	0	0	0	0
14	11	20.6	4.4	4	148.06804469666386	0.04347130885782748	0.0004714376551996538	0	0	0	0	0	0	0	0
15	12	139.7	3.8	4	101.33239373782693	0.04713853298295205	0.0004825357362821068	0	0	0	0	0	0	0	0
16	12	35.6	4.2	4	109.92010295698718	0.04278955419099353	0.0004968239780742333	0	0	0	0	0	0	0	0
17	11	22.8	4.3	4	175.8277856610201	0.045105408277009505	0.0005100075148237996	0	0	0	0	0	0	0	0
18	12	129	3.6	4	109.76266537005108	0.04330153081439886	0.0004531703383561764	0	0	0	0	0	0	0	0
19	11	110.3	4.4	4	159.7440941815036	0.04351875144032015	0.0005170549820285704	0	0	0	0	0	0	0	0
20	11	114.3	4.2	4	156.70137598722823	0.04191556467930613	0.0005070768210718787	0	0	0	0	0	0	0	0
21	11	103.8	4.1	4	144.341416763539	0.04156711840018118	0.0005134041836074592	0	0	0	0	0	0	0	0
22	11	24.7	3.6	4	170.53312629308436	0.04626184136379372	0.0004787872665386831	0	0	0	0	0	0	0	0
23	13	129.2	3.6	4	105.04260489386645	0.04152259104333346	0.00039470621158956215	0	0	0	0	0	0	0	0
24	11	22.4	3.9	4	148.04279341308327	0.04474492284203307	0.0005033226620343192	0	0	0	0	0	0	0	0
25	11	101.6	3.7	4	149.7183881460039	0.04665282211614328	0.0004707019886873209	0	0	0	0	0	0	0	0
26	13	157	3.7	4	109.95816782599523	0.04389878296858452	0.00040077933633285694	0	0	0	0	0	0	0	0
27	13	148.3	4.1	4	102.51298022972247	0.04629535178926704	0.00044624992347537876	0	0	0	0	0	0	0	0
28	11	114.2	4.1	4	167.7173976721728	0.0449651570973938	0.0005331309078957697	0	0	0	0	0	0	0	0
29	11	105.3	3.9	4	148.2657242322713	0.04705062850425093	0.000471949944152881	0	0	0	0	0	0	0	0
30	14	149.4	4.1	4	116.95692654692371	0.04652988265857309	0.0005133082003617361	0	0	0	0	0	0	0	0
31	14	136.6	3.8	4	120.8151924457555	0.046306090323777575	0.0005386464356137125	0	0	0	0	0	0	0	0
32	11	101.1	3.7	4	166.5187810278728	0.044873341356752694	0.00048777935691834935	0	0	0	0	0	0	0	0
33	11	20.8	3.8	4	165.67330890869857	0.048754041691424325	0.0005080899129300683	0	0	0	0	0	0	0	0
34	11	108.6	3.9	4	157.5024276280368	0.04904492046520959	0.0004658255119221982	0	0	0	0	0	0	0	0
35	11	112.7	3.9	4	162.3007888452002	0.04584857734921399	0.0004557862936316535	0	0	0	0	0	0	0	0
36	11	119.5	4.2	4	170.51704882025751	0.04740384740849635	0.0005253047702437543	0	0	0	0	0	0	0	0
37	11	99.2	4.3	4	157.8624260782501	0.046653486080505895	0.0004923735292310799	0	0	0	0	0	0	0	0
38	11	101.2	3.8	4	165.6311720970519	0.04903020423755459	0.0005106804703952044	0	0	0	0	0	0	0	0
39	11	99.6	4	4	144.14017924561858	0.041266097411887144	0.0004629775720287169	0	0	0	0	0	0	0	0
40	11	107.8	3.9	4	169.08203033286	0.04908915414620981	0.0005396022323338334	0	0	0	0	0	0	0	0
41	11	23.4	4	4	173.49531987908674	0.04340962790478535	0.00046945963827387774	0	0	0	0	0	0	0	0
42	11	100.6	3.7	4	171.03529561728845	0.041797586464083464	0.0005302799461208212	0	0	0	0	0	0	0	0
43	12	156.9	4.2	4	98.93258145085296	0.048358101049495984	0.000504758411181009	0	0	0	0	0	0	0	0
44	12	154.2	3.8	4	108.93022396402557	0.04069831387437644	0.0005291754918717892	0	0	0	0	0	0	0	0
45	11	21	4.3	4	167.02220766021767	0.045405644994874005	0.0004610733399931658	0	0	0	0	0	0	0	0
46	12	128.7	3.7	4	97.57930904212223	0.04247607584016008	0.00048423590721240537	0	0	0	0	0	0	0	0
47	11	117.8	4.3	4	147.9328457723906	0.04197926703916618	0.00045705476592719605	0	0	0	0	0	0	0	0
48	11	117.4	3.7	4	170.57224376200702	0.04452934929580374	0.0005221418486295632	0	0	0	0	0	0	0	0
49	13	21.9	3.7	4	102.95046751835308	0.04633693621131891	0.0004204729445162531	0	0	0	0	0	0	0	0
50	11	103	3.8	4	144.03362405247802	0.04613020689298056	0.0005389905494360047	0	0	0	0	0	0	0	0
51	11	118	3.6	4	174.58652019247813	0.04512161203030079	0.00047744912483356575	0	0	0	0	0	0	0	0
52	13	140.4	4	4	114.90390152649759	0.04870266853761732	0.0004462883586816783	0	0	0	0	0	0	0	0
53	2	193.1	74.7	6	121.05875423080077	0.032403005094906054	0.002375335805466098	212.97	109.5	2373.09	0	0	2575.85	0	2610.6
54	2	194.3	67.3	6	120.48491833383152	0.031109024377509516	0.002256133223243449	197.71	103.1	1990.87	0	0	2319.61	0	2266
55	11	22.6	3.7	4	146.5244600493555	0.048792690273759924	0.0004888038252802621	0	0	0	0	0	0	0	0
56	12	150.8	3.7	4	112.83559200508667	0.0414587954465344	0.0005275402984459484	0	0	0	0	0	0	0	0
57	12	134.5	4.2	4	111.74059671471338	0.041364755212134494	0.0005317763170797475	0	0	0	0	0	0	0	0
58	11	112.6	4	4	153.40971825513694	0.0451068083335073	0.0005451034081956636	0	0	0	0	0	0	0	0
59	11	117.2	3.8	4	166.94157346317357	0.042349129292362155	0.0005287819920102173	0	0	0	0	0	0	0	0
60	11	22.4	4.2	4	156.64078803653584	0.04623373105491745	0.0005021815558421921	0	0	0	0	0	0	0	0
61	11	21.3	4.1	4	157.53902197333963	0.04721853152844749	0.0005237821672344922	0	0	0	0	0	0	0	0
62	11	104.9	4.4	4	165.95831400742242	0.04357508741587277	0.000515637229826619	0	0	0	0	0	0	0	0
63	12	147.7	4	4	108.59753339739096	0.04715093843039889	0.0004699391172994924	0	0	0	0	0	0	0	0
64	12	148.1	3.9	4	110.02875442024703	0.04583258855787474	0.00048287714444649425	0	0	0	0	0	0	0	0
65	11	102.3	3.6	4	167.70881720970448	0.04095020659841568	0.0005310551496965887	0	0	0	0	0	0	0	0
66	11	112.5	3.8	4	166.23589440426625	0.04106699967408555	0.00045316317043980054	0	0	0	0	0	0	0	0
67	11	20.8	4.4	4	154.5014939960948	0.04668876342146138	0.00054019221644871	0	0	0	0	0	0	0	0
68	12	138	3.7	4	95.69238829270377	0.04776551803577837	0.0004972186247552947	0	0	0	0	0	0	0	0
69	12	33.3	4.3	4	108.12082125537927	0.047187983886728846	0.000499188567366259	0	0	0	0	0	0	0	0
70	11	108.7	3.7	4	174.55549689871677	0.04421766563199614	0.0005449911702792984	0	0	0	0	0	0	0	0
71	11	23.6	3.7	4	144.52845058916478	0.04820360525588919	0.0005050495605946083	0	0	0	0	0	0	0	0
72	11	114.8	3.8	4	156.0583399640738	0.04845348251932869	0.00048775631664964433	0	0	0	0	0	0	0	0
73	11	23.3	4	4	164.99360867073034	0.044018149270865954	0.0004591578591618001	0	0	0	0	0	0	0	0
74	11	118.5	4	4	175.1058137439461	0.04876020498627778	0.0004982889778373452	0	0	0	0	0	0	0	0
75	11	23.2	3.8	4	169.81557390574898	0.045843016844104335	0.0005125987231110547	0	0	0	0	0	0	0	0
76	11	100.6	4.1	4	173.39038685880993	0.04135017983122294	0.0005096939193725969	0	0	0	0	0	0	0	0
77	11	102.6	4.1	4	152.62473998745395	0.04544332934739312	0.0005124108679420603	0	0	0	0	0	0	0	0
78	11	119.5	4.1	4	152.04808579091537	0.046115801412633564	0.0004910562616550176	0	0	0	0	0	0	0	0
79	12	143.2	4.3	4	104.87456600641981	0.042422249011097396	0.0005354087180100462	0	0	0	0	0	0	0	0
80	12	144.9	4.4	4	113.90386389941791	0.04126197443428842	0.0004982439050942311	0	0	0	0	0	0	0	0
81	11	107	4.4	4	159.45081986575786	0.045864566637225816	0.00045779432921271533	0	0	0	0	0	0	0	0
82	11	22.4	3.9	4	146.3720834532013	0.048700774880184754	0.0004977744600541253	0	0	0	0	0	0	0	0
83	12	29.9	4.2	4	99.95123896642485	0.04074322988977339	0.00045514355395165107	0	0	0	0	0	0	0	0
84	11	20.3	3.7	4	161.46902998544587	0.042003627461282514	0.00046285030732560073	0	0	0	0	0	0	0	0
85	11	111.5	4.1	4	153.49526897638265	0.04100263937422298	0.00048242403440337746	0	0	0	0	0	0	0	0
86	13	144	4.3	4	109.4203808307168	0.042033250258912885	0.0004617032106071471	0	0	0	0	0	0	0	0
87	11	106.6	4	4	146.2699436671847	0.04533713928422606	0.0005443241215604107	0	0	0	0	0	0	0	0
88	11	105.5	3.8	4	158.78929499865913	0.04092132379576282	0.0004881738691880787	0	0	0	0	0	0	0	0
89	13	128.8	4.4	4	99.49722134718	0.042940879741012364	0.00039404926637673626	0	0	0	0	0	0	0	0
90	13	23.1	3.8	4	113.7096678772534	0.04560546494619287	0.0003885487550905138	0	0	0	0	0	0	0	0
91	11	115.6	4.1	4	150.04077395956048	0.04817992646587	0.0005141022042352158	0	0	0	0	0	0	0	0
92	11	22.6	4.1	4	144.2842149473908	0.0439541581014839	0.0005150095593475588	0	0	0	0	0	0	0	0
93	14	150.6	4.1	4	107.6590556818845	0.04239606735380219	0.0005123438210034561	0	0	0	0	0	0	0	0
94	14	147.2	4.2	4	107.43294417036516	0.04896825875997574	0.000520343496372669	0	0	0	0	0	0	0	0
95	11	21	4.2	4	150.55605089534316	0.04149175285176023	0.0005062789063551454	0	0	0	0	0	0	0	0
96	11	23.9	4.3	4	153.77107649164495	0.04287828992211474	0.0004918630855049115	0	0	0	0	0	0	0	0
97	11	106.4	3.7	4	174.35574349454106	0.04802094392838965	0.00046754736314209925	0	0	0	0	0	0	0	0
98	11	22.3	4	4	161.1604861919012	0.04476483293093327	0.0004708495698171151	0	0	0	0	0	0	0	0
99	11	23.5	4.3	4	147.91733564911792	0.048895322032311894	0.0004988627649429026	0	0	0	0	0	0	0	0
100	11	121	3.8	4	170.75442211085436	0.041195755644106394	0.0004876356023283906	0	0	0	0	0	0	0	0
101	11	23.3	3.9	4	159.69996882658182	0.04798380376403604	0.00046764961952283293	0	0	0	0	0	0	0	0
102	11	103.2	3.9	4	144.06477504694612	0.04516279148009008	0.0004537278019297029	0	0	0	0	0	0	0	0
103	11	103.2	3.9	4	152.17204911520105	0.04345442300466674	0.0005359672481211679	0	0	0	0	0	0	0	0
104	2	210.2	70.4	6	113.44991490689596	0.029203280073171203	0.002272065731782015	223.41	109.4	2133.73	0	0	2365.33	0	2661.6
105	2	205.7	73.7	6	129.53825232735718	0.029069491711577675	0.0021645310764005807	221.52	104.2	2348.49	0	0	2363.48	0	2259.1
106	2	196.2	70.8	6	130.20675959305893	0.030132623967945218	0.0026144049725021924	218.19	115.6	2275.36	0	0	2286.65	0	2329.5
107	11	21.7	4.4	4	159.51920950183361	0.04179596460431938	0.0004925072586617222	0	0	0	0	0	0	0	0
108	11	104.8	3.8	4	144.38864652471582	0.043006544528587175	0.000493848436384408	0	0	0	0	0	0	0	0
109	13	21.9	4.1	4	100.32558058667331	0.041583182553288786	0.00038350063977666556	0	0	0	0	0	0	0	0
110	11	114	3.7	4	172.16025627287627	0.0426661730346869	0.0005251196358873696	0	0	0	0	0	0	0	0
111	11	114.7	3.9	4	152.0846820175711	0.04061058997780878	0.0005177283877842911	0	0	0	0	0	0	0	0
112	13	129.8	4.3	4	115.1380131722526	0.04439982170129902	0.00040160757448952367	0	0	0	0	0	0	0	0
113	13	142.1	4.4	4	100.41607926880931	0.049243133567910706	0.0003959821283414767	0	0	0	0	0	0	0	0
114	11	102.7	3.6	4	145.03310563109403	0.04897376614442272	0.0005373154702734288	0	0	0	0	0	0	0	0
115	11	24.6	3.8	4	161.9655734077111	0.04167001458312574	0.00048473234737806786	0	0	0	0	0	0	0	0
116	14	133.6	3.8	4	118.45398830581526	0.0458055988875823	0.0005237672972387768	0	0	0	0	0	0	0	0
117	14	156.3	4.1	4	105.65978614262801	0.042332046599989175	0.000513773781839391	0	0	0	0	0	0	0	0
118	11	107.3	4.1	4	158.76203508784	0.04636212054266958	0.00045396005873390126	0	0	0	0	0	0	0	0
119	11	22.3	4.3	4	147.94181934132496	0.04794249666181115	0.0005067500933217199	0	0	0	0	0	0	0	0
120	13	22.5	4.4	4	109.54448520585923	0.04353023417469896	0.0004523072995203755	0	0	0	0	0	0	0	0
121	11	22.9	3.7	4	164.69924090258814	0.04100429478509643	0.0004779143055467927	0	0	0	0	0	0	0	0
122	11	20.4	4	4	174.16589549161762	0.044039150116299115	0.00048171321494230494	0	0	0	0	0	0	0	0
123	13	132.5	3.7	4	108.37046944317454	0.04051174581863905	0.00040089139177621033	0	0	0	0	0	0	0	0
