Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	5	232.4	67.8	6	128.19903933542176	0.03141950073808772	0.0023371167709138056	1.03	102.3	3350.7	3347.09	1021.25	1084.11	1083.7	2685.7
2	5	202.1	68.3	6	117.82613956987232	0.02928540706637589	0.0022699075259413667	0.98	117.5	3390.84	3339.92	973.81	901.08	1067.2	2514.6
3	5	230.3	75.1	6	123.54780691159053	0.0270024652512476	0.002321108072443639	1	104.1	3507.41	3202.61	1034.08	973.34	1007.5	2651.7
4	8	106.6	81.7	4	98.14444070295472	0.041733773655758165	0.0004529591778112212	1.1	52.7	0	0	1099.51	0	1087.2	0
5	8	95.5	72.9	4	82.66471030913267	0.04204820198186416	0.0004604977925762161	0.95	47.6	0	0	1044.09	0	1085.6	0
6	8	95.4	83.3	4	94.75439372231672	0.04913555516102687	0.000501192856131009	0.98	46.2	0	0	1033.29	0	967.4	0
7	11	111.9	3.7	4	157.02706827976573	0.04206126663312123	0.0005260711174632566	0	0	0	0	0	0	0	0
8	12	151.7	3.9	4	97.2451184422109	0.04480456570121865	0.000490286298687331	0	0	0	0	0	0	0	0
9	12	145.5	3.6	4	103.27991614237342	0.04726607513925836	0.0005317975502576328	0	0	0	0	0	0	0	0
10	11	100.5	4.1	4	162.22533144031866	0.04125487427305681	0.0005371493588168903	0	0	0	0	0	0	0	0
11	12	128.8	3.8	4	108.1379818813818	0.04669380626612537	0.0005376715373138241	0	0	0	0	0	0	0	0
12	11	21.4	4.4	4	161.75618816247942	0.04148055106880011	0.0005134402450346499	0	0	0	0	0	0	0	0
13	11	115.5	4.1	4	148.61726077112186	0.04524403651396579	0.0004650437446738899	0	0	0	0	0	0	0	0
14	11	116	3.8	4	173.94858079134463	0.04206709146403296	0.000520260277640899	0	0	0	0	0	0	0	0
15	12	146.7	3.8	4	109.04965976661758	0.04182373549621893	0.0004976182335961965	0	0	0	0	0	0	0	0
