Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	4	218.5	73.5	6	110.05657553942893	0.028010412099481036	0.0024661733645886886	1.02	112.9	3225.9	3097.54	942.92	1058.66	2681.9	2703.1
2	4	210.7	77.1	6	121.1734601273117	0.031734131422850365	0.002165451840783504	1.08	100.6	2988.22	3122.6	1079.01	1013	2357.4	2454.7
3	4	217.1	78.5	6	128.87218000804776	0.029973803124954863	0.0023751093755446113	0.95	110	3325.23	3389.93	1053.97	1033.92	2328.9	2525.9
4	4	231.7	78.6	6	116.4392381895787	0.030764780153367748	0.0021961214357374857	1.07	114.1	3585.41	3358.07	976.9	991.28	2627.5	2619.6
5	7	99.2	76.2	4	83.92414472654336	0.041187505944015004	0.0004796686555407919	1.01	50.7	0	0	1065.27	0	1066.8	0
6	7	110	79	4	95.41584408964428	0.046431051496262955	0.0004897520227662039	0.94	54	0	0	1037.74	0	919.1	0
7	7	103.2	79.7	4	81.73742706307196	0.04487379196304526	0.000519589648657858	1.03	51	0	0	923.81	0	1094.7	0
8	7	109.6	83.1	4	87.132615153085	0.04447475958185754	0.0005123889735338661	1.06	48.6	0	0	998.17	0	1076.9	0
9	7	99.2	80.5	4	93.3177430064695	0.04595211317172425	0.00054688607966842	0.99	52.1	0	0	1028.84	0	1035.5	0
10	11	100.3	3.8	4	163.52619665163192	0.04526472533017684	0.0004502236661722989	0	0	0	0	0	0	0	0
11	12	131.7	4.4	4	102.30113433409643	0.04485473676815197	0.0004631910865917193	0	0	0	0	0	0	0	0
12	11	119.8	4.1	4	161.59237285631872	0.049057553236078695	0.000528089434962909	0	0	0	0	0	0	0	0
13	11	110.8	4.2	4	151.27509187053545	0.04207994159737617	0.00046918347916224246	0	0	0	0	0	0	0	0
14	11	104.8	3.8	4	170.5260340051692	0.04263601690905841	0.000502733099977595	0	0	0	0	0	0	0	0
15	12	131.2	3.7	4	98.19088397590741	0.04632569219919712	0.00047198768647714704	0	0	0	0	0	0	0	0
16	12	154.1	3.8	4	101.99501437175472	0.04628327531539788	0.0004884224267926704	0	0	0	0	0	0	0	0
17	11	105.4	4	4	146.73170802193857	0.04775151083214418	0.0005361542847490826	0	0	0	0	0	0	0	0
18	12	131.6	3.6	4	102.6300818417454	0.04328006163376527	0.0004680038935223227	0	0	0	0	0	0	0	0
19	11	21.8	4.3	4	170.9393756962137	0.04504241674123537	0.000513123624114403	0	0	0	0	0	0	0	0
20	11	22.8	3.9	4	169.8731933029061	0.04602330858201194	0.0004560000638163566	0	0	0	0	0	0	0	0
21	11	23.8	4.2	4	171.58636513248197	0.044488858018575356	0.0005273390932937186	0	0	0	0	0	0	0	0
22	11	20.8	4.3	4	161.63853368431285	0.04278313904658716	0.0005144299947499607	0	0	0	0	0	0	0	0
23	13	134.5	3.8	4	106.68356159110672	0.04144214731013375	0.00045306550745967617	0	0	0	0	0	0	0	0
24	11	22.3	4	4	175.68940164555306	0.04211986609633934	0.0004636789957242368	0	0	0	0	0	0	0	0
25	11	24.1	4.1	4	152.8483214037394	0.04408227513858197	0.0005180957062935162	0	0	0	0	0	0	0	0
