Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	1	231.2	71.2	6	116.69128376363619	0.0274292435604289	0.0021901240610932523	218.38	105.9	2583.83	0	0	2638	0	2511.9
2	1	219.7	75.7	6	117.30816300408902	0.03208649213320983	0.0024594175010889093	190.72	113.4	2369.42	0	0	2234.87	0	2498.9
3	1	226.2	72.6	6	113.2573363177782	0.029967282907761194	0.0024947632396285237	183.43	112.1	2429.29	0	0	2353.98	0	2463.2
4	1	202.2	69.3	6	128.77193582111676	0.028753209996105276	0.00241093413149683	220.88	113.1	2337.65	0	0	2266.35	0	2659.8
5	11	23.9	4.1	4	154.04201110728536	0.043347501887912976	0.0004779948407795612	0	0	0	0	0	0	0	0
6	12	35.1	4.1	4	101.8518129907667	0.04826505418961598	0.0004859789158057491	0	0	0	0	0	0	0	0
7	11	110	3.9	4	174.9519689439491	0.04407695889461564	0.0004662480592077478	0	0	0	0	0	0	0	0
8	11	20.6	3.7	4	173.40306336306497	0.048245451791738586	0.0005206205871006618	0	0	0	0	0	0	0	0
9	11	23.4	3.8	4	164.64781600804318	0.04923618956859737	0.0005186559030069276	0	0	0	0	0	0	0	0
10	12	150.5	4.2	4	112.70591578864834	0.04878795905719414	0.0004634236871643034	0	0	0	0	0	0	0	0
11	12	148.8	4.1	4	96.40184672874899	0.04239634489186173	0.0005091863313196008	0	0	0	0	0	0	0	0
12	11	22	3.9	4	154.7950618964016	0.04708601061608305	0.000536841591389679	0	0	0	0	0	0	0	0
13	11	22	4.2	4	145.72468970364469	0.04212510013762937	0.0004766203034145777	0	0	0	0	0	0	0	0
14	11	106	3.8	4	158.32306597427848	0.04498663547325825	0.0005074419583361949	0	0	0	0	0	0	0	0
15	12	132.3	4.2	4	104.50317658386868	0.043228074492932124	0.0004558219604814815	0	0	0	0	0	0	0	0
16	12	153.2	4.3	4	108.56188637453573	0.04598486261606272	0.0005366461720257409	0	0	0	0	0	0	0	0
17	11	100.7	4	4	151.92545186544538	0.04937960417090553	0.00048656039452677413	0	0	0	0	0	0	0	0
18	12	153.5	3.8	4	108.76012769573167	0.04478481428973568	0.0005230025102090767	0	0	0	0	0	0	0	0
19	11	111.8	4	4	148.61731423107835	0.04211096551748572	0.0005091019670111861	0	0	0	0	0	0	0	0
