Unit No	"Type (1,11)"	Weight(ton)	Len(ft)	Axles(n)	aRes	bRes	cRes	eInit(Mwh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)
1	5	210.6	75.2	6	111.76043053774865	0.02890149283799275	0.002469046680962063	0.98	110.3	3005.36	2996.47	1086.41	936.88	1079.8	2617.7
2	5	192.8	75	6	108.06256285264729	0.029476883378466066	0.0024784715200869374	0.95	115.1	3114.17	3158.83	999.47	1008.38	1055.5	2610.8
3	8	104.7	77	4	89.5056222109742	0.04472837834682404	0.0005030865990836957	1.03	53.4	0	0	966.05	0	1049	0
4	8	95.5	82.8	4	96.49590922606016	0.04727617215164954	0.0005284224154652471	1.01	49.1	0	0	1008.2	0	1010	0
5	8	109.5	73.4	4	90.44127372425967	0.04295656661764269	0.0004692709998271817	1.07	53.8	0	0	964.85	0	1020	0
6	12	34.6	4	4	112.51601201434849	0.04903925461797666	0.0005050039418023422	0	0	0	0	0	0	0	0
7	12	136.6	4.1	4	114.94638163211945	0.04731828343415215	0.00045727358228838543	0	0	0	0	0	0	0	0
8	11	100.1	4	4	160.6693959568436	0.044187594202768805	0.0005130822393920334	0	0	0	0	0	0	0	0
9	12	31.1	3.7	4	107.00880555468169	0.04538931209752533	0.0004913461874673639	0	0	0	0	0	0	0	0
10	11	103.3	4.2	4	170.63968756663627	0.041575466299033206	0.000463721672897847	0	0	0	0	0	0	0	0
11	11	24.6	4.1	4	144.00328672451732	0.047706348644139	0.000481031234850568	0	0	0	0	0	0	0	0
12	11	107.6	3.7	4	166.05717136283405	0.04798706527743391	0.0004521306053940027	0	0	0	0	0	0	0	0
13	12	33.5	4.3	4	102.07984161673599	0.048964603405274226	0.0005070559828355241	0	0	0	0	0	0	0	0
14	11	106.6	3.7	4	171.82845006019176	0.045197849801083725	0.0005292069434477269	0	0	0	0	0	0	0	0
15	12	32.5	4.2	4	115.39364291925772	0.041823299928254704	0.0005090432874370641	0	0	0	0	0	0	0	0
16	12	130.8	3.8	4	112.48202478378722	0.04494496642699208	0.0005234541557925002	0	0	0	0	0	0	0	0
17	11	113.1	4	4	166.97840051107585	0.04425991237697752	0.0005163420059769458	0	0	0	0	0	0	0	0
18	12	129.6	4.1	4	109.94727056010343	0.042777633749154595	0.0005173621393222335	0	0	0	0	0	0	0	0
19	11	21.8	4.1	4	144.6903421995737	0.04400028752154855	0.0005429737043816093	0	0	0	0	0	0	0	0
20	11	107.2	3.8	4	169.42315653625235	0.04319811176164045	0.00046665209369353466	0	0	0	0	0	0	0	0
21	11	24.6	3.9	4	151.357894845828	0.04092043152898741	0.0005305198486317647	0	0	0	0	0	0	0	0
22	11	108	3.9	4	148.7140944707596	0.04543625268331335	0.00045751465843034905	0	0	0	0	0	0	0	0
23	13	145.2	4.3	4	101.24637962636736	0.043896555978742695	0.0003920130687008459	0	0	0	0	0	0	0	0
24	11	23.4	4.2	4	152.75257853348748	0.04057357716956906	0.0005207676296669308	0	0	0	0	0	0	0	0
25	11	104.9	4.2	4	144.2264051763575	0.04087071811627195	0.0005498433546090991	0	0	0	0	0	0	0	0
26	13	21.2	3.9	4	112.218664705666	0.04141906495705864	0.000406569861415732	0	0	0	0	0	0	0	0
27	13	131.1	3.8	4	100.17251226204145	0.046008405823547	0.0004168378965423223	0	0	0	0	0	0	0	0
28	11	24.2	4.2	4	153.33207787041178	0.04079281455312802	0.0004871581843943886	0	0	0	0	0	0	0	0
29	11	117.8	4	4	161.05961801901512	0.04902014393771058	0.0005411991850467741	0	0	0	0	0	0	0	0
30	14	135.2	4.3	4	113.85517565196822	0.04856488397939405	0.0005393632411270854	0	0	0	0	0	0	0	0
31	14	139.7	3.8	4	116.91073480413107	0.04526882256577962	0.0005062427594584416	0	0	0	0	0	0	0	0
32	11	22.1	4	4	146.92106312132935	0.0438476313432497	0.0005303771344969468	0	0	0	0	0	0	0	0
33	11	21.6	4	4	162.0273903327162	0.045872113727161684	0.0004970933539298517	0	0	0	0	0	0	0	0
34	11	107.9	3.6	4	145.4783917394424	0.04510575088994372	0.0004696375428873693	0	0	0	0	0	0	0	0
35	11	20.9	3.8	4	149.60408924541764	0.04340637800742049	0.0004662080409871434	0	0	0	0	0	0	0	0
36	11	21.6	3.6	4	148.2077563355463	0.04389537552865234	0.0005121296030562291	0	0	0	0	0	0	0	0
37	11	20.8	4	4	146.09363990473105	0.048014831458057586	0.0005261271943479193	0	0	0	0	0	0	0	0
38	11	115	3.8	4	172.05454641098893	0.048614174916216536	0.0005449784199728948	0	0	0	0	0	0	0	0
39	11	24.1	3.9	4	146.67144611380994	0.046854611013043626	0.0005332087364126723	0	0	0	0	0	0	0	0
40	13	144.4	3.9	4	112.82018597373522	0.04450904787806865	0.0003964822002435675	0	0	0	0	0	0	0	0
41	12	135.1	3.7	4	100.24245467415095	0.04357868943181235	0.0005276657514434178	0	0	0	0	0	0	0	0
42	11	111.3	4.3	4	158.9966710799905	0.04171240899765005	0.00048209420772947427	0	0	0	0	0	0	0	0
43	12	139.5	4.1	4	107.70795408150465	0.04314931942062227	0.00045633864449320396	0	0	0	0	0	0	0	0
44	12	141.5	3.9	4	101.64837833157087	0.041953627495073906	0.0005397532354800558	0	0	0	0	0	0	0	0
45	11	117.8	4.2	4	152.6927790609075	0.04886881379523412	0.000519025886758842	0	0	0	0	0	0	0	0
46	12	139.3	4.4	4	114.23806800707708	0.04265079515010106	0.000451463525737265	0	0	0	0	0	0	0	0
47	11	24.2	3.8	4	159.811200999946	0.04692294807886321	0.00048017037755833787	0	0	0	0	0	0	0	0
48	11	114	3.7	4	172.83795113822222	0.04329777383848364	0.0005140803813263578	0	0	0	0	0	0	0	0
